[2025-11-12 10:21:29] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:21:33] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:21:34] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:21:34] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-12 10:21:34] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-12 10:21:34] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-12 10:21:35] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:21:35] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:21:35] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:21:36] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-12 10:21:36] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-12 10:30:21] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-12 10:30:22] Sorteo - Viewers: 60, Ganadores: 5
[2025-11-12 10:30:22] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:30:22] Sorteo - Viewers: 60, Ganadores: 6
[2025-11-12 10:30:22] Sorteo - Viewers: 60, Ganadores: 5
